Time	Open	High	Low	Close	Volume
2017-05-23 00:00:00	2104.6	2154.2	2101.3	2142.1	81	17
2017-05-23 01:00:00	2142.4	2181.1	2117.5	2152.7	62	14
2017-05-23 02:00:00	2152.7	2156.5	2100.4	2156.3	108	50
2017-05-23 03:00:00	2156.3	2174.3	2130.8	2170	74	10
2017-05-23 04:00:00	2170	2202.8	2136.9	2192.9	67	4
2017-05-23 05:00:00	2191.4	2209.1	2158.8	2190	64	27
2017-05-23 06:00:00	2189.4	2203.7	2122.4	2159.6	68	11
2017-05-23 07:00:00	2151.2	2191.1	2144.5	2180.6	70	11
2017-05-23 08:00:00	2180.7	2187.2	2139.2	2170.2	97	15
2017-05-23 09:00:00	2170.1	2180.2	2113.1	2148.2	179	7
2017-05-23 10:00:00	2149	2208	2142.4	2204.1	141	67
2017-05-23 11:00:00	2204.1	2238.8	2169.5	2215.6	101	24
2017-05-23 12:00:00	2215.6	2233.8	2181.7	2227.8	68	16
2017-05-23 13:00:00	2227.7	2248.2	2177.2	2227.9	190	12
2017-05-23 14:00:00	2227.9	2258.9	2194.6	2230.4	147	10
2017-05-23 15:00:00	2229.7	2262.4	2214.7	2241.5	147	76
2017-05-23 16:00:00	2240.3	2266.5	2174.5	2185.1	154	57
2017-05-23 17:00:00	2185.6	2244.8	2173.2	2223.2	127	129
2017-05-23 18:00:00	2223.1	2269.6	2199.4	2229	124	16
2017-05-23 19:00:00	2228.8	2252.5	2216	2233.1	101	24
2017-05-23 20:00:00	2233.4	2253.9	2201.6	2215.4	87	26
2017-05-23 21:00:00	2233	2240.9	2190.4	2225.8	59	10
2017-05-23 22:00:00	2225.8	2258	2222	2246.5	52	1
2017-05-23 23:00:00	2246.8	2265	2229.4	2255.4	101	22
2017-05-24 00:00:00	2256.2	2293.9	2254.4	2280.1	89	20
2017-05-24 01:00:00	2279.7	2312.2	2269.1	2296	84	21
2017-05-24 02:00:00	2290.9	2316.9	2271.4	2295	75	11
2017-05-24 03:00:00	2294.7	2312.8	2265.6	2309.3	112	32
2017-05-24 04:00:00	2309	2317.8	2282.9	2309.5	145	19
2017-05-24 05:00:00	2310	2311.3	2263.7	2301	157	18
2017-05-24 06:00:00	2301	2320	2284.1	2319.5	118	5
2017-05-24 07:00:00	2319.5	2324	2288.1	2314.5	103	4
2017-05-24 08:00:00	2314.9	2345.5	2308.1	2332.9	91	17
2017-05-24 09:00:00	2332.6	2339.8	2285.9	2324.3	115	25
2017-05-24 10:00:00	2324.2	2347.1	2296.3	2346.8	179	16
2017-05-24 11:00:00	2346.7	2378.1	2335.5	2377	149	17
2017-05-24 12:00:00	2370.5	2385.7	2350.1	2385.5	135	33
2017-05-24 13:00:00	2385.9	2397.5	2346.5	2349.9	118	18
2017-05-24 14:00:00	2348.2	2384.9	2311.7	2355.6	136	17
2017-05-24 15:00:00	2355.5	2400	2324.7	2363.9	87	56
2017-05-24 16:00:00	2370.2	2428.8	2351.6	2422.7	115	32
2017-05-24 17:00:00	2422.8	2435	2382	2429.8	103	5
2017-05-25 00:00:00	2420.5	2459	2393.4	2443.3	86	248
